Instance,nvar,,LS-DivSAT,,,,DiversekSet,,,,DiverSAT,,
,,,avg.dis,time,Quality,,avg.dis,time,Quality,,avg.dis,time,Quality
software/mace1,1234,,28567.3,2272.4,0.514448046,,25886.6,<1,0.46617324,,26868.6,2447.4,0.483857374
software/malta_mips32_4kc,1232,,28781,1833,0.519137807,,26268.5,<1,0.473818543,,27265.8,2573.4,0.491807359
software/malta_mips64_5kc,1232,,28806.1,1308.2,0.519590548,,26008.4,<1,0.469126984,,27044.2,2996.3,0.487810245
software/mb93091,1250,,29217.7,1441.4,0.519425778,,26650.1,<1,0.473779556,,27430.4,1882.8,0.487651556
software/mb93093,1230,,28822.9,1954.5,0.520738934,,26213.9,<1,0.473602529,,26981.2,2673.1,0.487465221
software/mbx,1295,,30493.6,1802.3,0.523270699,,27065.4,<1,0.464442728,,28492.1,3035.2,0.488924925
software/mcb2100,1249,,28908.7,1716.4,0.51434392,,26378.5,<1,0.469326572,,27237.2,2723.1,0.484604573
software/moab,1277,,29947.1,1624.4,0.521136344,,26851.5,<1,0.467267032,,28005.4,2971.4,0.487347081
software/mpc50,1213,,28028.7,1656.1,0.513487222,,25296.5,<1,0.463433178,,26401.8,2720.1,0.48368233
software/nano,1265,,29663.2,1444.3,0.521092666,,25766.2,<1,0.452634168,,27472.5,2562.9,0.482608696
software/npwr,1258,,29332.2,2380.7,0.518145204,,26683.9,<1,0.471363717,,27655.1,2615.4,0.488519696
software/ocelot,1266,,29486,1993.3,0.517570651,,26593.5,<1,0.466798315,,27556.5,2519.6,0.483701948
software/olpce2294,1274,,29730.2,2314,0.51858015,,26301.1,<1,0.458766789,,27716.2,2829.7,0.483450201
software/olpch2294,1261,,29178,1660.6,0.514195083,,26670.8,<1,0.470011455,,27521.1,2808.9,0.484996035
software/olpcl2294,1273,,29701.9,1797.4,0.518493497,,26422.9,<1,0.461253382,,27626.6,2975.1,0.482265864
software/p2106,1249,,28901.9,1496.1,0.514222934,,26311.8,<1,0.468139845,,27312,2806.4,0.485935415
software/pati,1248,,29104.4,1860.9,0.518240741,,26444.8,<1,0.470883191,,27304.2,2690.5,0.486185897
software/pc_i82544,1259,,29455.7,1010.8,0.519913512,,26658.9,<1,0.470548054,,27633.5,2546.3,0.487750419
software/pc_i82559,1259,,29480.8,1283.1,0.520356544,,26653.8,<1,0.470458035,,27701.4,2537,0.488948901
software/pc_rltk8139,1257,,29638.6,1811.5,0.523974189,,26772.3,<1,0.473301512,,27724.5,3087,0.490135243
software/pc_usb_d12,1281,,29737.2,1668.1,0.515867812,,27249.2,<1,0.472707086,,28066,2689.5,0.486876572
software/pc_vmWare,1255,,29358,2684.4,0.519840637,,26485.4,<1,0.468975653,,27617.7,2924.8,0.489025232
software/phycore,1274,,29506,1325.3,0.514669458,,26320.8,<1,0.459110413,,27612.6,2409,0.481643119
software/phycore229x,1360,,30737.8,2611.1,0.502251634,,27470.7,<1,0.448867647,,28713.8,2679.1,0.469179739
software/picasso,1248,,28850.6,1927.1,0.51372151,,26100.6,<1,0.464754274,,27064.9,2842.5,0.481924858
software/pid,1229,,28391.2,2167.3,0.513356839,,25817.6,<1,0.466822168,,26746.4,2559.9,0.48361631
software/prpmc1100,1223,,28260,1475.2,0.513491415,,25548.3,<1,0.464219133,,26593.7,2186.1,0.483214318
software/psim,1181,,27510.2,1747.1,0.517644181,,25098.5,<1,0.472264559,,25984,2739.5,0.488926522
software/rattler,1311,,31157.6,1431.8,0.528139673,,28050.9,<1,0.475479278,,29191.3,2819.3,0.49480973
software/ref4955,1218,,28273.4,2475.2,0.515843824,,25831.9,<1,0.471299033,,26674.8,2985.8,0.486677614
software/refidt334,1263,,29848.7,2212.7,0.525181666,,26611.2,<1,0.468218527,,27865.7,2769.2,0.490291194
software/sa1100mm,1222,,28260.9,1833.5,0.513927987,,25598.7,<1,0.465515548,,26648.2,3057.7,0.484600837
software/sam7ex256,1332,,30273.7,1468.4,0.505066733,,27667.9,<1,0.46159326,,28611.3,3097.7,0.477332332
software/se7751,1295,,29914,1923.4,0.513324753,,27321.4,<1,0.468835693,,28162.3,2835.3,0.483265551
software/sh4_202_md,1258,,29239.9,1352.4,0.51651475,,26477.5,<1,0.467717718,,27466.7,2796.5,0.485191662
software/sh7708,1253,,28768.9,1907.4,0.510222577,,26045.2,<1,0.461917177,,26998,2699.4,0.478815288
software/skmb91302,1217,,28365,2225.6,0.51794029,,25720.8,<1,0.469657628,,26596.8,2599.2,0.485653246
software/sleb,1188,,27706.1,1360.5,0.518258511,,25200.7,<1,0.471393565,,26109.5,2481.7,0.488393191
software/smdk2410,1265,,29223.8,1952.4,0.513373737,,26478.2,<1,0.465141853,,27468.3,2783.9,0.482534914
software/snds,1218,,28269.3,1367.3,0.51576902,,25616.2,<1,0.46736362,,26693.6,2737.5,0.487020617
software/sparc_erc32,1168,,27225.7,1879.5,0.51799277,,24892.5,<1,0.473601598,,25761,2419.2,0.490125571
software/sparc_leon,1168,,27223.9,1988.1,0.517958524,,24749.8,<1,0.470886606,,25614.6,2806,0.487340183
software/sparclite_sim,1168,,27211.9,2049.7,0.517730213,,24670.2,<1,0.469372146,,25664.9,2885.2,0.488297184
software/stb,1252,,29136.8,2252.1,0.517160099,,26461.8,<1,0.469680511,,27483.8,2589.9,0.487820376
software/stdeval1,1190,,27674.2,2177,0.516791783,,24831.7,<1,0.463710551,,26026.7,2749.8,0.486026144
software/stm3210e_eval,1269,,29593.6,2721.9,0.518231328,,26815.4,<1,0.469580597,,27896,2789.8,0.488503634
software/toybox,544,,4375,394.5,0.17871732,,4328.3,<1,0.176809641,,4338,1410.8,0.177205882
software/ts1000,1297,,30587.2,1555,0.524067506,,27563.4,<1,0.472259059,,28691.5,3022.9,0.491587424
software/ts6,1240,,29196,1533.4,0.523225806,,26261.1,<1,0.470629032,,27288,2637.7,0.489032258
software/tx39_sim,1179,,27353.8,2186.3,0.515574404,,24630.7,<1,0.464248421,,25721.2,2608.9,0.484802563
software/uClinux,11254,,15150,<1,0.029915289,,15150,<1,0.029915289,,15150,<1,0.029915289
software/uClinux-config,1850,,129537.6,1334.4,1.556007207,,121513,4.2,1.459615616,,122442.4,580.4,1.47077958
software/uE250,1249,,28882.8,2081.3,0.513883106,,25902.6,<1,0.460859354,,27111.8,2755.6,0.482373454
software/vads,1240,,29193.7,2181.5,0.523184588,,26481.5,<1,0.474578853,,27359.1,2581.3,0.490306452
software/viper,1301,,30618,2130.5,0.522982321,,27556.3,<1,0.470685797,,28678.9,2722.4,0.489860791
software/vrc4373,1247,,28950.9,1815,0.515920877,,26171.2,<1,0.466385102,,27302.2,2738.9,0.486540141
software/vrc4375,1258,,29483.8,1936.2,0.520823176,,26413.6,<1,0.466588942,,27545,2736.8,0.48657481
Average,,,28999.7 ,1811.3 ,0.514466865,,26342.2 ,4.2 ,0.467256015,,27292.9 ,2624.1 ,0.48441384
